,X,ID,term,source,source_type,retrieval_date,hyperlink,definition,def_clean,def_ID
18,20,forrt_003,Accessibility,IGI,research_dict,28/3/2022,https://www.igi-global.com/dictionary/accessibility/290,"As defined within Section 508, accessibility is achieved when individuals with disabilities can access and use information technology in ways comparable to those available to people without disabilities. A narrower, operational definition conceptualizes accessibility in terms of conformance to certain accessibility criteria such as the web content accessibility guidelines or the access board standards .Learn more in: Accessibility of Online Library Information for People with Disabilities",defined within section accessibility achieved individuals disabilities can access use information technology ways comparable available people without disabilities narrower operational definition conceptualizes accessibility terms conformance certain accessibility criteria web content accessibility guidelines access board standards,Accessibility_15
19,21,forrt_003,Accessibility,IGI,research_dict,28/3/2022,https://www.igi-global.com/dictionary/accessibility/290,"Within this case study accessibility was related to the content development and ensuring that all communication, PowerPoint slides and word documents were fully compliant in terms of accessibility legislation.Learn more in: Building a Community of Practice Across an Institution: How to Embed UDL Through the Plus One Approach Between an Academic Developer and Instructor in STEM",within case study accessibility related content development ensuring communication powerpoint slides word documents fully compliant terms accessibility legislation,Accessibility_16
20,22,forrt_003,Accessibility,IGI,research_dict,28/3/2022,https://www.igi-global.com/dictionary/accessibility/290,The ability to be present in a space and meaningfully engage in the space as it is intended to be used.Learn more in: Beyond Inclusion: Meaningfully Engaging Visitors With Disabilities,ability present space meaningfully ge space intended used,Accessibility_17
21,23,forrt_003,Accessibility,IGI,research_dict,28/3/2022,https://www.igi-global.com/dictionary/accessibility/290,"a??Ability to accessa?? and benefit from some system or entity. The concept focuses on enabling access for people with disabilities, or special needs.Learn more in: Intelligence Applied to Smart Cities Through Architecture and Urbanism: Reflections on Multiple and Artificial Intelligences",ability access benefit system entity concept focuses enabling access people disabilities special needs,Accessibility_18
22,24,forrt_003,Accessibility,IGI,research_dict,28/3/2022,https://www.igi-global.com/dictionary/accessibility/290,"Means of ensuring that people with visual, auditory, physical, speech, cognitive, and neurological difficulties can access electronic information, software applications, Internet, and so forth.Learn more in: Educational Accessibility to Technology",means ensuring people visual auditory physical speech cognitive neurological difficulties can access electronic information software applications internet forth,Accessibility_19
23,25,forrt_003,Accessibility,IGI,research_dict,28/3/2022,https://www.igi-global.com/dictionary/accessibility/290,"Any product, service, technology or environment is accessible and available to everyone, including individuals/learners with special needs.Learn more in: Universal Design Principles and Technology-Supported Learning in the Digital Era: Assistive Technologies in Inclusive Learning",product service technology environment accessible available everyone including individuals learners special needs,Accessibility_20
24,26,forrt_003,Accessibility,IGI,research_dict,28/3/2022,https://www.igi-global.com/dictionary/accessibility/290,"The degree to which devices and services are adapted for people with disabilities, so they can use, understand, and interact with their interfaces.Learn more in: Time for a Change: Designing a Mobile Application to Assist People With Intellectual Disabilities",degree devices services adapted people disabilities can use understand interact interfaces,Accessibility_21
25,27,forrt_003,Accessibility,IGI,research_dict,28/3/2022,https://www.igi-global.com/dictionary/accessibility/290,The concept used to describe the degree to which practices and environments are able to be understood and utilized by people of differing abilities.Learn more in: Equitable Means Accessible: Using Universal Design for Learning and Student Development Theory to Inform Online Pedagogy,concept used describe degree practices environments able understood utilized people differing abilities,Accessibility_22
26,28,forrt_003,Accessibility,IGI,research_dict,28/3/2022,https://www.igi-global.com/dictionary/accessibility/290,The degree to which the information for a program or course can be used by students-with-limitations.Learn more in: Resourcing Equity for Online Learners: Supporting Students-with-Limitations,degree information program course can used students limitations,Accessibility_23
27,29,forrt_003,Accessibility,IGI,research_dict,28/3/2022,https://www.igi-global.com/dictionary/accessibility/290,The extent to which a product (or robot) can be used without discrimination and equivalent user experience by the users in a specific context of use.Learn more in: CLARC: Robotic Platform to Assist the CGA Evaluation in Elderly Patients,extent product robot can used without discrimination equivalent user experience users specific context use,Accessibility_24
28,30,forrt_003,Accessibility,IGI,research_dict,28/3/2022,https://www.igi-global.com/dictionary/accessibility/290,"The guarantee that any resource, by any means, is able to be reached or acquired by everybody, with or without disability.Learn more in: TelegerontologyAR: A New Technological Resource for Elderly Support",tharantee resource means able reached acquired everybody without disability,Accessibility_25
29,31,forrt_003,Accessibility,IGI,research_dict,28/3/2022,https://www.igi-global.com/dictionary/accessibility/290,The extent to which a product or service is available to all people.Learn more in: Instructional Design and Online Standards,extent product service available people,Accessibility_26
30,32,forrt_003,Accessibility,IGI,research_dict,28/3/2022,https://www.igi-global.com/dictionary/accessibility/290,The ease with which an e-government medium may provide information and services.Learn more in: Exploring Critical Success Factors Towards Adoption of M-Government Services in Tanzania: A Web Analytics Study,ease vernment medium may provide information services,Accessibility_27
31,33,forrt_003,Accessibility,IGI,research_dict,28/3/2022,https://www.igi-global.com/dictionary/accessibility/290,Capacity for users to easily access and comprehend any kind of content.Learn more in: Variable Fonts From Pioneer Perspectives,capacity users easily access comprehend kind content,Accessibility_28
32,34,forrt_003,Accessibility,IGI,research_dict,28/3/2022,https://www.igi-global.com/dictionary/accessibility/290,non-discriminatory access to telecom servicesLearn more in: Shifting Focus from Access to Impact: Can Computers Alleviate Poverty?,non discriminatory access telecom services,Accessibility_29
33,35,forrt_003,Accessibility,IGI,research_dict,28/3/2022,https://www.igi-global.com/dictionary/accessibility/290,The theory that all students are able to read and interact with a given text so as to be able to understand a given and/or participate in the learning process.Learn more in: Graphic Novels and STEAM: Strategies and Texts for Utilization in STEAM Education a?? Graphic Novels and STEAM,theory students able read interact given text able understand given participate learning process,Accessibility_30
34,36,forrt_003,Accessibility,IGI,research_dict,28/3/2022,https://www.igi-global.com/dictionary/accessibility/290,refers to the situation where the people have access to some Information and Communications services.Learn more in: Mobiles for Development: The Case of M-Banking,refers situation people access information communications services,Accessibility_31
35,37,forrt_003,Accessibility,IGI,research_dict,28/3/2022,https://www.igi-global.com/dictionary/accessibility/290,"The concept of accessible design, the ability to access and to use services, spaces, or products.Learn more in: Aging Suit: An Accessible and Low-Cost Design Tool for the Gerontodesign",concept accessible design ability access use services spaces products,Accessibility_32
36,38,forrt_003,Accessibility,IGI,research_dict,28/3/2022,https://www.igi-global.com/dictionary/accessibility/290,"In the learning object sense, ensuring that all information is versioned in multi-perceptual ways for the broadest available human use (for example, image information is made available in text format, which is machine/screen reader- and human-readable).Learn more in: a??Conceptual Reverse Engineeringa?? of Online Learning Objects and Sequences for Practical Applications",learning object sense ensuring information versioned multi perceptual ways broadest available human use example image information made available text format machine screen reader human readable,Accessibility_33
37,39,forrt_003,Accessibility,IGI,research_dict,28/3/2022,https://www.igi-global.com/dictionary/accessibility/290,"The ability to access. Often tied to people with disabilities (e.g., total blindness), accessibility thrives to break the barriers to information access. We follow the strict sense of accessibility by embracing any situation where the ability to access information can be disrupted by device or even surrounding environment constraints.Learn more in: Querying Web Accessibility Knowledge from Web Graphs",ability access often tied people disabilities total blindness accessibility thrives break barriers information access follow strict sense accessibility embracing situation ability access information can disrupted device even surrounding environment constraints,Accessibility_34
38,40,forrt_003,Accessibility,IGI,research_dict,28/3/2022,https://www.igi-global.com/dictionary/accessibility/290,Possibility of accessing a certain thing or facility to do so.Learn more in: Analysis of the Use of VR and Haptic Devices in the Teaching-Learning Process for Blind People,possibility accessing certain thing facility,Accessibility_35
39,41,forrt_003,Accessibility,IGI,research_dict,28/3/2022,https://www.igi-global.com/dictionary/accessibility/290,"Accessibility in the sense considered here refers to the design of products, devices, services, interactive system, or application so as to be usable by people with disabilities.Learn more in: Educational Applications as a Support for Reading Disability at Elementary School",accessibility sense considered refers design products devices services interactive system application usable people disabilities,Accessibility_36
40,42,forrt_003,Accessibility,IGI,research_dict,28/3/2022,https://www.igi-global.com/dictionary/accessibility/290,"The quality of places that are easily reached or entered by any person, even if the person has reduced mobility.Learn more in: From Macro to Micro: Two Approaches to Study Urban Mobility in a Brazilian Municipality",quality places easily reached entered person even person reduced mobility,Accessibility_37
41,43,forrt_003,Accessibility,IGI,research_dict,28/3/2022,https://www.igi-global.com/dictionary/accessibility/290,Ensuring access course materials to all learners.Learn more in: Establishing Considerations for Universal Design for Learning and Accessibility in Online Courses,ensuring access course materials learners,Accessibility_38
42,44,forrt_003,Accessibility,IGI,research_dict,28/3/2022,https://www.igi-global.com/dictionary/accessibility/290,"The possibility for a product to be used by the largest possible number of people, regardless of their technical or physical abilities.Learn more in: In-TIC for Mobile Devices: Support System for Communication with Mobile Devices for the Disabled",possibility product used largest possible number people regardless technical physical abilities,Accessibility_39
43,45,forrt_003,Accessibility,IGI,research_dict,28/3/2022,https://www.igi-global.com/dictionary/accessibility/290,"The usability of an application for users with disabilities who often use assistive tools and different modalities of interaction (only text, no audio, keyboard instead of mousea?|)Learn more in: Training Infrastructure to Participate in Real Life Institutions: Learning through Virtual Worlds",usability application users disabilities often use assistive tools different modalities interaction text audio keyboard instead mouse,Accessibility_40
44,46,forrt_003,Accessibility,IGI,research_dict,28/3/2022,https://www.igi-global.com/dictionary/accessibility/290,"People, who have difficulties or limitations in mobility, in the communication or the understanding, can easily reach a place, object or service.Learn more in: Religious Tourism and Accessibility: Cathedrals of Palma and Barcelona",people difficulties limitations mobility communication understanding can easily reach place object service,Accessibility_41
45,47,forrt_003,Accessibility,IGI,research_dict,28/3/2022,https://www.igi-global.com/dictionary/accessibility/290,"Accessibility describes the extent to which persons with special needs or people who use assistive technologies can use a product, like for example software.Learn more in: Application of Direct and Indirect Human-Centered Design Techniques With Dyslexic Users",accessibility describes extent persons special needs people use assistive technologies can use product like example software,Accessibility_42
46,48,forrt_003,Accessibility,IGI,research_dict,28/3/2022,https://www.igi-global.com/dictionary/accessibility/290,The designing of course content in a manner that ensures that all students can learn the material and meet the course learning objectives.Learn more in: Using Universal Design for Learning (UDL) for Optimal Student Engagement in the Online College Classroom,designing course content manner ensures students can learn material meet course learning objectives,Accessibility_43
47,49,forrt_003,Accessibility,IGI,research_dict,28/3/2022,https://www.igi-global.com/dictionary/accessibility/290,A facility that is easy to reach or use.Learn more in: MotherCare App for Expectant Mothers in Interior Parts of Pakistan,facility easy reach use,Accessibility_44
48,50,forrt_003,Accessibility,IGI,research_dict,28/3/2022,https://www.igi-global.com/dictionary/accessibility/290,Capable of being reached; capable of being read with comprehension; easily obtained; easy to get along with or talk to.Learn more in: Is It Accessible?: Ensuring Accessibility in Higher Education During a Global Pandemic,capable reached capable read comprehension easily obtained easy gong talk,Accessibility_45
49,51,forrt_003,Accessibility,IGI,research_dict,28/3/2022,https://www.igi-global.com/dictionary/accessibility/290,"How physically accessible a city is to tourists, regardless of any disability they may have.Learn more in: European Capital of Smart Tourism: An Initiative to Promote the Tourism Industry",physically accessible city tourists regardless disability may,Accessibility_46
50,52,forrt_003,Accessibility,IGI,research_dict,28/3/2022,https://www.igi-global.com/dictionary/accessibility/290,"The degree of psychological openness and rapport, and emotional involvement one person feels towards another during a one-on-one interaction.Learn more in: A Human Affect Recognition System for Socially Interactive Robots",degree psychological openness rapport emotional involvement one person feels towards another one one interaction,Accessibility_47
51,53,forrt_003,Accessibility,IGI,research_dict,28/3/2022,https://www.igi-global.com/dictionary/accessibility/290,"Usability of a product, service, environment, or facility by people with the widest range of capabilities.Learn more in: Specification of the Context of Use for the Development of Web-Based Applications",usability product service environment facility people widest range capabilities,Accessibility_48
52,54,forrt_003,Accessibility,IGI,research_dict,28/3/2022,https://www.igi-global.com/dictionary/accessibility/290,"Accessibility is a basic characteristic of the built environment, is the condition that makes possible to arrive, entry, exit and use houses, shops, theatres, parks and work places (European Union, 1996) and it allows people to participate in the social and economic activities for which they have been designed. It follows that, where there is a lack of accessibility, for example, with physical barriers, that people can suffer some degree of marginalization and, logically, a loss of quality of life with respect to others who do not suffer this lack, being worst for disabled persons (European Union, 1996).Learn more in: The Reality of Accessibility in the Public Health Systems",accessibility basic characteristic built environment condition makes possible arrive entry exit use houses shops theatres parks work places european union allows people participate social economic activities designed follows lack accessibility example physical barriers people can suffer degree marginalization logically loss quality life respect others suffer lack worst disabled persons european union,Accessibility_49
53,55,forrt_003,Accessibility,IGI,research_dict,28/3/2022,https://www.igi-global.com/dictionary/accessibility/290,"The ability of a system or a piece of information to be accessible, that is, universally accessed by all kind of users. The term is normally focused on people with dissabilities. When refered to IT systems it is called e-AccesibilityLearn more in: Open Educational Resources in E-Learning: Standards and Environment",ability system piece information accessible universally accessed kind users term normally focused people dissabilities refered systems called e accesibility,Accessibility_50
54,56,forrt_003,Accessibility,IGI,research_dict,28/3/2022,https://www.igi-global.com/dictionary/accessibility/290,"The ability to access. Often tied to people with disabilities (e.g., total blindness), accessibility thrives to break the barriers to information access. We follow the strict sense of accessibility by embracing any situation where the ability to access information can be disrupted by device or even surrounding environment constraints.Learn more in: A Service Oriented Ontological Framework for the Semantic Validation of Web Accessibility",ability access often tied people disabilities total blindness accessibility thrives break barriers information access follow strict sense accessibility embracing situation ability access information can disrupted device even surrounding environment constraints,Accessibility_51
55,57,forrt_003,Accessibility,IGI,research_dict,28/3/2022,https://www.igi-global.com/dictionary/accessibility/290,Knowing that the desired goal is reached without any obstacle.Learn more in: University Instructors' Views on Distance Medical Education Activities,knowing desired goal reached without obstacle,Accessibility_52
56,58,forrt_003,Accessibility,IGI,research_dict,28/3/2022,https://www.igi-global.com/dictionary/accessibility/290,Conditions universally designed that enable everybody to fully participate in activities.Learn more in: Smart and Accessible Cities?: Not Always a?? The Case for Accessible Tourism Initiatives in Buenos Aries and Sydney,conditions universally designed enable everybody fully participate activities,Accessibility_53
57,59,forrt_003,Accessibility,IGI,research_dict,28/3/2022,https://www.igi-global.com/dictionary/accessibility/290,Does the game allow for a player of any skill level to take part? Does the game scale in difficulty with the players increasing skills and abilities?Learn more in: Making Exergames Appealing: An Assessment of Commercial Exergames,thme allow player skill level take part thme scale difficulty players increasing skills abilities,Accessibility_54
58,60,forrt_003,Accessibility,IGI,research_dict,28/3/2022,https://www.igi-global.com/dictionary/accessibility/290,"A way of designing physical/digital/virtual spaces, products, environments, and devices for stakeholders with various disabilities. This chapter complicates this notion by asking the readers to think beyond disability, and to also consider issues of socioeconomics, gender, race, and learning preference, all of which informs how users engage with content.Learn more in: #teachingbydesign: Complicating Accessibility in the Tech-Mediated Classroom",way designing physical digital virtual spaces products environments devices stakeholders various disabilities chapter complicates notion asking readers think beyond disability also consider issues socioeconomics gender race learning preference informs users ge content,Accessibility_55
59,61,forrt_003,Accessibility,IGI,research_dict,28/3/2022,https://www.igi-global.com/dictionary/accessibility/290,"Access features embedded in materials for individuals with disabilities (e.g., text to speech, speech to text, read aloud feature, multiple font sizes, and closed captioning).Learn more in: Using Video Gameplay to Measure Achievement for Students with Disabilities: A New Perspective to Grading and Achievement Reporting",access features embedded materials individuals disabilities text speech speech text read aloud feature multiple font sizes closed captioning,Accessibility_56
60,62,forrt_003,Accessibility,IGI,research_dict,28/3/2022,https://www.igi-global.com/dictionary/accessibility/290,A facility that is easy to reach or use.Learn more in: MotherCare App for Expectant Mothers in Interior Parts of Pakistan,facility easy reach use,Accessibility_57
61,63,forrt_003,Accessibility,IGI,research_dict,28/3/2022,https://www.igi-global.com/dictionary/accessibility/290,"The ease in which people with disabilities, people from different geographic regions and people having different internet connections could access the websites.Learn more in: E-Relationship for Web-Based Tourism Promotion: A Review of Literature",ease people disabilities people different gaphic regions people different internet connections access websites,Accessibility_58
62,64,forrt_003,Accessibility,IGI,research_dict,28/3/2022,https://www.igi-global.com/dictionary/accessibility/290,The state of being able to be accessed and usable.Learn more in: Using a Diversity and Inclusion Approach in Designing Learning for All (in Full Human Dimensionality),state able accessed usable,Accessibility_59
63,65,forrt_003,Accessibility,IGI,research_dict,28/3/2022,https://www.igi-global.com/dictionary/accessibility/290,The possibility provided to disabled people to benefit from all the facilities of the community they belong to.Learn more in: Teacher Attitudes Towards the School Integration of Students With Special Educational Needs,possibility provided disabled people benefit facilities community belong,Accessibility_60
64,66,forrt_003,Accessibility,IGI,research_dict,28/3/2022,https://www.igi-global.com/dictionary/accessibility/290,"Accessibility refers to the availability of a product, service, application and facility for use by as many people as possible. In an online environment, the term can be treated as the ability to access and navigate. The notion of the term often centers on people with disabilities and their right to access to and benefit from the use of information technologies.Learn more in: Laws Related to Web and Digital Application Accessibility",accessibility refers availability product service application facility use many people possible online environment term can treated ability access navigate notion term often centers people disabilities right access benefit use information technologies,Accessibility_61
65,67,forrt_003,Accessibility,IGI,research_dict,28/3/2022,https://www.igi-global.com/dictionary/accessibility/290,"Must make available to all users all the information, regardless of their physical characteristics, in other words, must provide the right access to the websites.Learn more in: Information Architecture: A Study about Usability and Accessibility",must make available users information regardless physical characteristics words must provide right access websites,Accessibility_62
66,68,forrt_003,Accessibility,IGI,research_dict,28/3/2022,https://www.igi-global.com/dictionary/accessibility/290,"The ability to access and benefit from a system or entity. The concept focuses on enabling access for people with disabilities or special needs.Learn more in: Integration of Tellurism and Sacred Geometry in Professional Training: Innovation, Healthy Architecture, and Landscape",ability access benefit system entity concept focuses enabling access people disabilities special needs,Accessibility_63
67,69,forrt_003,Accessibility,IGI,research_dict,28/3/2022,https://www.igi-global.com/dictionary/accessibility/290,"The design of information systems such that they can be used by everyone, regardless of their ability or disability.Learn more in: A Disability-Aware Mentality to Information Systems Design and Development",design information systems can used everyone regardless ability disability,Accessibility_64
68,70,forrt_003,Accessibility,IGI,research_dict,28/3/2022,https://www.igi-global.com/dictionary/accessibility/290,"A legal standard to ensure that digital learning objects are presented in multi-sensory multi-perceptual ways (visual, auditory; textual, auditory; visual, textual; visual, symbolic; and other combinations).Learn more in: Exploring the Common Structures and Sequences of Real-World Online Learning Modules",legal standard ensure digital learning objects presented multi sensory multi perceptual ways visual auditory textual auditory visual textual visual symbolic combinations,Accessibility_65
69,71,forrt_003,Accessibility,IGI,research_dict,28/3/2022,https://www.igi-global.com/dictionary/accessibility/290,Ensuring access course materials to all learners.Learn more in: UDL in Action: Implementing Strategies in a Large Online Course,ensuring access course materials learners,Accessibility_66
70,72,forrt_003,Accessibility,IGI,research_dict,28/3/2022,https://www.igi-global.com/dictionary/accessibility/290,"Accessibility to health care is a fundamental pillar of health policies and consists of the adjustment between the needs of users and the capacity of the health system to meet those needs, focusing on the process of seeking health services.Learn more in: Using Digital Tools to Improve Policy Making and Citizens' Decisions in Healthcare",accessibility health care fundamental pillar health policies consists adjustment needs users capacity health system meet needs focusing process seeking health services,Accessibility_67
71,73,forrt_003,Accessibility,IGI,research_dict,28/3/2022,https://www.igi-global.com/dictionary/accessibility/290,A subdomain of usability; enables people with disabilities to experience success and satisfaction with software to a degree comparable to that experienced by people without disabilities.Learn more in: Usability Engineering of User-Centered Web Sites,subdomain usability enables people disabilities experience success satisfaction software degree comparable experienced people without disabilities,Accessibility_68
72,74,forrt_003,Accessibility,IGI,research_dict,28/3/2022,https://www.igi-global.com/dictionary/accessibility/290,"The goal of making any place or process usable by individuals with disabilities or challenges; in this context, making the Internet and computer technology usable for older adults with physical or cognitive limitations.Learn more in: The Internet Behavior of Older Adults",thal making place process usable individuals disabilities challs context making internet computer technology usable older adults physical cognitive limitations,Accessibility_69
73,75,forrt_003,Accessibility,IGI,research_dict,28/3/2022,https://www.igi-global.com/dictionary/accessibility/290,The extent to which an intervention can be used and understood by intended participants.Learn more in: Supporting Children and Families During the Kindergarten Transition: Connection-Focused Home Visiting,extent intervention can used understood intended participants,Accessibility_70
74,76,forrt_003,Accessibility,IGI,research_dict,28/3/2022,https://www.igi-global.com/dictionary/accessibility/290,The extent to which an institution is readily approachable and usable by individuals who have been previously disadvantaged for being Black and/or students with disabilities.Learn more in: The Role of University Leadership in Advocating Social Justice in South African Higher Education,extent institution readily approachable usable individuals previously disadvantaged black students disabilities,Accessibility_71
75,77,forrt_003,Accessibility,IGI,research_dict,28/3/2022,https://www.igi-global.com/dictionary/accessibility/290,"The level to which as people as possible have access to a product, device, service, or environment according to their necessity.Learn more in: Virtual Reality (VR) and Augmented Reality (AR) Technologies for Accessibility and Marketing in the Tourism Industry",level people possible access product device service environment according necessity,Accessibility_72
76,78,forrt_003,Accessibility,IGI,research_dict,28/3/2022,https://www.igi-global.com/dictionary/accessibility/290,"In the context of the a??new economya??, the concept is understood as the set of complex conditions that make access to the cultural sphere really possible.Learn more in: A Virtual Museum of Pompeii a??ex Votosa??: Design Strategies",context new economy concept understood set complex conditions make access cultural sphere really possible,Accessibility_73
